(7, 8)
(8, 1)
(8, 10)
(4, 2)
(8, 10)
(10, 8)
(4, 5)
(4, 7)
(7, 8)
(7, 3)
(3, 2)
(7, 4)
(8, 9)
(8, 2)
(9, 6)
(8, 9)
(8, 2)
(8, 10)
(10, 2)
(10, 7)
(7, 10)
(8, 9)
(8, 9)
(8, 3)
(8, 9)
(2, 7)
(2, 7)
(7, 10)
(2, 9)
(2, 8)
(8, 9)
(9, 10)
(9, 6)
(9, 10)
(6, 9)
(6, 4)
(4, 2)
(4, 7)
(4, 5)
(2, 3)
(3, 1)
(4, 7)
(2, 4)
(4, 5)
(4, 5)
(4, 5)
(10, 6)
(2, 3)
(2, 4)
(2, 4)
(8, 10)
(4, 8)
(4, 9)
(2, 3)
(2, 7)
(2, 5)
(2, 7)
(4, 5)
(5, 9)
(4, 3)
(2, 4)
(1, 10)
(2, 4)
(10, 8)
(8, 3)
(8, 9)
(8, 5)
(8, 9)
(8, 9)
(1, 10)
(2, 4)
(2, 10)
(2, 4)
(1, 10)
(10, 8)
(8, 9)
(9, 3)
(9, 8)
(7, 2)
(7, 10)
(7, 10)
(7, 3)
(7, 10)
(7, 10)
(7, 8)
(7, 10)
(10, 7)
(7, 10)
(10, 7)
(7, 10)
(7, 10)
(10, 7)
(10, 8)
(8, 10)
(10, 2)
(10, 7)
(10, 7)
(10, 7)
(8, 2)
(2, 7)
