(2, 4)
(8, 10)
(10, 2)
(10, 2)
(10, 9)
(10, 7)
(2, 8)
(2, 4)
(2, 8)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(8, 10)
(7, 3)
(2, 7)
(10, 7)
(7, 2)
(10, 7)
(6, 2)
(4, 2)
(4, 2)
(4, 2)
(2, 7)
(2, 7)
(2, 7)
(4, 2)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 7)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(2, 4)
(10, 7)
(10, 7)
(10, 9)
(10, 7)
(7, 3)
(8, 9)
(8, 10)
(10, 2)
(10, 2)
(2, 4)
(10, 2)
(2, 4)
(10, 3)
(10, 9)
(8, 9)
(10, 9)
(2, 7)
(10, 9)
(7, 10)
(10, 2)
(10, 9)
(10, 9)
(9, 4)
(4, 2)
(4, 2)
(2, 4)
(10, 9)
(10, 9)
(9, 4)
(4, 2)
(2, 4)
(4, 5)
(2, 4)
(2, 4)
(2, 4)
(2, 7)
(2, 4)
(4, 5)
(2, 4)
(2, 4)
(10, 7)
(2, 5)
(7, 9)
(2, 3)
(10, 2)
(10, 3)
(10, 3)
(10, 7)
(10, 7)
(10, 3)
(10, 7)
(7, 3)
(3, 6)
(6, 2)
(7, 9)
(7, 9)
(7, 9)
